x	y1	y2	z1	z2	u1	u2	u3
-1.04	2.85	17.57	1.81	0.4	8.88	11.26	9.91
0.14	3.9	10.59	-0.04	-1.76	10.93	11.85	6.76
0.93	8.31	6.12	0.61	-0.33	9.05	11.52	10.47
1.98	11.88	14.94	-0.5	-1.4	9.32	12.54	10.11
2.88	7.3	8.03	0.89	0.03	8.92	13.06	7.66
1.12	3.33	25.15	2.33	1.26	10.5	10.87	9.05
1.65	3.9	8.55	-1.36	2.5	8.55	11.69	8.82
2.59	4.01	11.51	-0.75	-0.33	9.96	12.87	8.6
0.34	2.24	5.08	0.47	-2.28	8.96	13.71	7.5
1.63	10.67	8.37	-0.98	0.31	9.02	12.35	9.49
0.23	4.28	21.85	0.92	0.45	11.14	13.64	7.25
0.07	3.48	19.47	0.66	0.54	10.51	12.26	10.04
0.45	3.42	6.6	1.69	-2.35	8.73	12.03	8.42
-2.39	3.49	3.15	1.91	-0.43	6.54	11.34	8.48
-0.93	3.18	11.54	0.16	0.85	9.31	9.22	8.67
0.56	5.35	6.12	0.75	0.04	9.74	12.46	8.16
0.9	1.52	8.98	0.03	-0.73	9.65	10.81	10.74
0.75	11.02	18.53	-2.28	-0.39	10.36	11.59	9.52
0.21	13.69	7.26	0.59	0	10.04	10.86	8.89
0.85	5.2	10.33	1.5	0.81	10.44	12.57	9.22
-1.29	18.32	15.23	0.16	0.85	5.23	25.23	15.23
0.57	3.24	18.23	0.75	0.04	18.23	38.23	8.23
0.65	27.4	46.2	0.03	-0.73	6.2	36.2	16.2
-1.04	10.1	27.1	0.63	0.38	27.1	17.1	7.1
0.47	12.21	38.2	0.92	0.45	8.2	48.2	28.2
